"","max_PM2.5","max_O3","max_PM10","Longitude","Latitude","Elevation","Land.Use_AGRICULTURAL","Land.Use_COMMERCIAL","Land.Use_INDUSTRIAL","Location.Setting_RURAL","Location.Setting_SUBURBAN"
"178",4.3,0.044,6,-103.63951,48.15278,584,0,0,0,0,1
"179",2.05,0.035,2,-95.711275,39.024265,283,0,0,0,0,0
"180",6.1,0.045,41,-91.179219,30.461981,19,0,1,0,0,0
"181",9.2,0.062,35,-76.283333,40.046667,107,0,0,1,0,1
"182",1.45,0.043,2,-115.122953,36.191251,571,0,1,0,0,0
"183",6.9,0.044,37,-102.4018,48.64193,681,1,0,0,1,0
"184",1.1,0.031,2,-103.63951,48.15278,584,0,0,0,0,1
"185",4.95,0.05,8,-111.855443,33.488131,377,0,0,0,1,0
"186",21.6,0.057,39,-80.785683,35.2401,234,0,0,0,0,0
"187",4,0.034,9,-78.370833,40.535278,372,0,0,1,0,1
"188",5.15,0.046,5.5,-93.643118,41.603159,280,0,1,0,0,0
"189",1.3,0.043,7,-80.256944,26.053889,7,0,0,0,0,1
"190",16.1,0.034,13,-119.807717,39.525083,1380,0,0,0,0,0
"191",7.7,0.068,29,-85.65452,38.22876,163,0,0,0,0,1
"192",4.7,0.061,19,-80.628611,28.053611,9,0,0,0,0,0
"193",6.7,0.039,24,-112.111275,40.712146,1307,0,0,0,0,1
"194",4.6,0.031,20,-106.65739,35.01708,1508,0,1,0,1,0
"195",3.4,0.032,38,-101.941218,43.74561,743,1,0,0,1,0
"196",11.1,0.039,13,-111.852199,41.842649,1353,0,0,0,1,0
"197",5,0.043,8,-111.86536,33.41018,370,0,1,0,0,1
"198",4.4,0.031,13,-78.915,40.309722,357,0,1,0,0,0
"199",5.125,0.034,8.5,-96.85535,46.933754,271,1,0,0,0,1
"200",2.9,0.045,11,-112.19193,33.57453,359,0,0,0,1,0
"201",5.8,0.041,13,-117.93845,33.83062,41,0,0,0,0,1
"202",4.7,0.06,11,-78.915,40.309722,357,0,1,0,0,0
"203",11.2,0.088,48,-96.807299,44.348604,499,1,0,0,1,0
"204",6.25,0.055,16,-112.036298,40.496392,1496,0,0,0,0,1
"205",8.3,0.054,23,-112.095767,33.503833,343,0,0,0,0,0
"206",0,0.051,8,-103.2995,47.5812,602,1,0,0,1,0
"207",8.6,0.034,25,-111.872222,40.736389,1304,0,0,0,0,1
"208",3.3,0.033,7,-106.5852,35.1343,1591,0,0,0,0,0
"209",3,0.047,21,-102.4018,48.64193,681,1,0,0,1,0
"210",15.9,0.035,30,-124.17949,40.77678,22,0,0,0,0,1
"211",2.1,0.041,8,-120.6693,35.25651,42,0,1,0,0,0
"212",7.83333333333333,0.0505,18,-75.080833,39.991389,4,0,0,0,0,0
"213",11.3,0.032,48,-75.3725,39.835556,12,0,0,1,0,0
"214",6.1,0.041,23,-101.941218,43.74561,743,1,0,0,1,0
"215",7.6,0.064,8,-92.042908,30.22611,15,0,1,0,0,1
"216",7.8,0.031,11,-81.678449,41.492117,181,0,1,0,0,0
"217",9.5,0.058,38,-101.941218,43.74561,743,1,0,0,1,0
"218",1.4,0.033,4.5,-118.130511,34.669739,742,0,1,0,0,0
"219",7.2,0.053,13,-111.93471,33.41123,357,0,0,0,0,0
"220",3.5,0.058,21,-87.799227,42.139996,200,0,0,0,0,1
"221",5.36666666666667,0.05,23,-124.17949,40.77678,22,0,0,0,0,1
"222",9,0.036,27,-112.06619,33.56031,386,0,0,0,0,1
"223",11.1,0.049,56,-103.2995,47.5812,602,1,0,0,1,0
"224",6.3,0.046,27,-87.913504,43.060975,209,0,1,0,0,0
"225",10.7,0.058,31,-80.628611,28.053611,9,0,0,0,0,0
"226",15.7,0.055,16,-121.618549,39.138773,18,0,1,0,0,1
"227",11.7,0.01,22,-100.76821,46.825425,566,0,0,0,0,1
"228",13.9,0.016,25,-78.370833,40.535278,372,0,0,1,0,1
"229",5,0.022,7,-111.86536,33.41018,370,0,1,0,0,1
"230",10.4,0.037,14,-91.179219,30.461981,19,0,1,0,0,0
"231",-0.7,0.026,1,-87.799227,42.139996,200,0,0,0,0,1
"232",31.925,0.069,59,-110.74526,43.48256,1913,0,0,0,0,0
"233",5.3,0.037,22,-119.143182,34.25239,39,0,0,0,1,0
"234",9.9,0.031,9,-120.034203,36.953256,85,0,1,0,0,1
"235",7.95,0.041,11,-111.852199,41.842649,1353,0,0,0,1,0
"236",6.9,0.051,20,-86.114444,39.810833,233,0,0,0,0,1
"237",2.9,0.037,7,-111.713611,40.341389,1426,0,0,0,0,1
"238",5.6,0.038,16,-102.5273,47.3132,664,1,0,0,1,0
"239",-0.3,0.037,3,-111.86536,33.41018,370,0,1,0,0,1
"240",6.4,0.016,8,-76.283333,40.046667,107,0,0,1,0,1
"241",5.5,0.042,7,-119.716433,36.819449,112,0,0,0,0,0
"242",5.2,0.048,7,-121.618549,39.138773,18,0,1,0,0,1
"243",7.15,0.048,13,-81.3625,28.596389,27,0,1,0,0,0
"244",5.25,0.066,20,-96.807299,44.348604,499,1,0,0,1,0
"245",5.7,0.03,21,-106.50815,35.1852,1791,0,0,0,0,1
"246",3.1,0.047,4,-119.143182,34.25239,39,0,0,0,1,0
"247",11.95,0.05,22,-112.07526,33.40314,325,0,0,0,0,0
"248",8.2,0.0315,22,-119.8284,34.44551,18,0,0,0,0,1
"249",2.5,0.04,12,-97.314847,37.702066,404,0,0,0,0,0
"250",8.2,0.036,44,-80.256944,26.053889,7,0,0,0,0,1
"251",6.9,0.049,30,-119.143182,34.25239,39,0,0,0,1,0
"252",7.5,0.016,10,-105.586,41.30283,2195,0,0,0,0,1
"253",8.1,0.051,27,-119.77321,36.78538,100,0,1,0,0,0
"254",12.4,0.049,27.5,-117.93845,33.83062,41,0,0,0,0,1
"255",3.8,0.05,7,-106.961763,44.80353,1147,0,0,0,0,0
"256",2.9,0.028,15,-122.308628,47.568236,92,0,0,0,0,0
"257",8.2,0.055,14,-121.3621,36.843425,120,0,0,0,1,0
"258",3.2,0.032,6,-111.663056,40.253611,1426,0,1,0,0,0
"259",6.5,0.044,13,-101.941218,43.74561,743,1,0,0,1,0
"260",5.2,0.045,21,-107.862471,48.317507,795,1,0,0,1,0
"261",5.7,0.036,14.5,-121.894898,37.348497,19,0,1,0,0,0
"262",4.9,0.067,22.5,-121.3621,36.843425,120,0,0,0,1,0
"263",4.9,0.039,13,-107.862471,48.317507,795,1,0,0,1,0
"264",8.1,0.042,11,-120.994212,37.642165,29,0,1,0,0,0
"265",2.1,0.041,11,-119.8284,34.44551,18,0,0,0,0,1
"266",5.8,0.041,12,-97.314847,37.702066,404,0,0,0,0,0
"267",6.3,0.025,12,-96.807299,44.348604,499,1,0,0,1,0
"268",12.8,0.044,20,-121.618549,39.138773,18,0,1,0,0,1
"269",2.85,0.051,11,-119.143182,34.25239,39,0,0,0,1,0
"270",9.95,0.055,17,-80.785683,35.2401,234,0,0,0,0,0
"271",12.9333333333333,0.033,15,-121.3621,36.843425,120,0,0,0,1,0
"272",2.5,0.046,7,-118.683685,34.276316,307,0,0,0,0,1
"273",7.2,0.024,17,-106.65739,35.01708,1508,0,1,0,1,0
"274",9.9,0.054,21,-96.807299,44.348604,499,1,0,0,1,0
"275",18.2,0.028,41,-87.46375,37.8712,121,0,1,0,1,0
"276",7.4,0.028,9,-117.32554,34.510961,913,0,0,0,0,1
"277",6.15,0.038,11.5,-86.114444,39.810833,233,0,0,0,0,1
"278",3.3,0.047,25,-77.40027,37.55652,54,0,0,0,0,1
"279",14.6,0.052,29,-114.61444,32.690278,60,0,1,0,0,0
"280",6.8,0.052,10,-75.080833,39.991389,4,0,0,0,0,0
"281",3.3,0.039,4,-93.299894,37.256137,385,0,0,0,0,1
"282",10.1,0.08,17,-80.628611,28.053611,9,0,0,0,0,0
"283",6.06666666666667,0.042,23,-76.699444,39.965278,131,0,0,0,0,1
"284",5.4,0.057,19,-112.036298,40.496392,1496,0,0,0,0,1
"285",11.5,0.046,22,-80.316442,40.747796,211,0,0,0,0,0
"286",0.6,0.027,8,-103.2995,47.5812,602,1,0,0,1,0
"287",15.9,0.061,98,-122.356811,37.9604,11,0,1,0,0,0
"288",6.7,0.052,16,-102.5273,47.3132,664,1,0,0,1,0
"289",2.4,0.031,4,-119.643447,36.31567,76,0,0,0,0,1
"290",6.3,0.036,20,-122.38092,40.55013,150,0,1,0,0,1
"291",5.5,0.055,50,-111.713611,40.341389,1426,0,0,0,0,1
"292",14.0666666666667,0.019,21,-78.574167,35.856111,103,0,0,0,0,1
"293",6.03333333333333,0.036,14,-94.635605,39.117219,273,0,0,0,0,0
"294",6.55,0.042,23,-114.61444,32.690278,60,0,1,0,0,0
